"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Adin Mtn","301	","California","SNOTEL","Modoc","6190","41.23583","-120.79192","180200021403	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"920",,"5","5","4","2","95","2","22","2nd Highest",,,"0.22","0","0","3","2018, 2019, 2020, more","2011","23"
"Agua Canyon","907	","Utah","SNOTEL","Kane","8900","37.52217","-112.27118","160300020301	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","23"
"Aiken Lake","4A30P	","British Columbia","Cooperator Snow Sensors","	","3481","56.43333","-125.73333","	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,,"0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","7"
"Albro Lake","916	","Montana","SNOTEL","Madison","8300","45.59723","-111.95902","100200050701	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","17",,,"59","61","28","24","24","-11","33","17","8",,,,"28.84","28","0","85","2001","2011","25"
"Alexander Lake","1267	","Alaska","SNOTEL","Matanuska-Susitna","160","61.74967","-150.88967","190205051106	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","6"
"Alpine Meadows","908	","Washington","SNOTEL","King","3500","47.77957","-121.69847","171100100501	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","80",,,"153","138","54","71","63","22","75","5","13",,,,"52.41","58","0","112","2015, 2016, 2019, more","2011","17"
"Althouse","1239	","California","SNOLITE","Del Norte","4970","41.99617","-123.547","171003110302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","7"
"American Beauty","1198	","Nevada","SNOLITE","Elko","7545","40.53373","-115.45768","160401030901	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"143",,"2","3","3","1","89","2","9","2nd Highest",,,"0.7","0","0","6","2017, 2019, 2020, more","2018","10"
"American Creek","1189	","Alaska","SNOTEL","Southeast Fairbanks","1050","64.78969","-141.23376","190705050504	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","9"
"Anchor River Divide","1062	","Alaska","SNOTEL","Kenai Peninsula","1653","59.85972","-151.315","190203010701	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","93","2","1","Lowest",,,"0.25","0","0","4","2019, 2020, 2021, more","2013","16"
